,barra price,date
0,2010-03-01,0.5356553829467119
1,2010-04-01,0.10373877552782504
2,2010-05-04,-1.1618072514546092
3,2010-06-01,-0.9048788476279908
4,2010-07-01,-0.8059219019402051
5,2010-08-02,1.4927807951870524
6,2010-09-01,-0.03904576746327765
7,2010-10-08,0.47253856498876856
8,2010-11-01,1.2856608409171728
9,2010-12-01,-0.8592264362883006
10,2011-01-04,0.23230833497069492
11,2011-02-01,-0.1700251852848478
12,2011-03-01,0.43501676387098903
13,2011-04-01,0.002617428582478659
14,2011-05-03,-0.06254008393998693
15,2011-06-01,-0.5914047434711587
16,2011-07-01,0.16756661381072707
17,2011-08-01,-0.21223063676242504
18,2011-09-01,-0.48666326359904183
19,2011-10-10,-0.9486762647094509
20,2011-11-01,0.43135631375083805
21,2011-12-01,-0.35633622731987524
22,2012-01-04,-1.0994387060413582
23,2012-02-01,0.3868452603013012
24,2012-03-01,0.7663300676935818
25,2012-04-05,-0.3454491560083476
26,2012-05-02,0.5416139310720051
27,2012-06-01,-0.14390253257435556
28,2012-07-02,-0.3462862835081444
29,2012-08-01,-0.3987235043976533
30,2012-09-03,-0.440748375551686
31,2012-10-08,0.02422093629048199
32,2012-11-01,0.18864630378450326
33,2012-12-03,-0.6839366360813555
34,2013-01-04,1.5131958370695509
35,2013-02-01,0.759685698913427
36,2013-03-01,-0.11887763722668833
37,2013-04-01,-0.29330878879187305
38,2013-05-02,-0.2382634531891016
39,2013-06-03,0.51241520951474
40,2013-07-01,-1.3393971689618347
41,2013-08-01,0.2428711034456765
42,2013-09-02,0.4361812568358101
43,2013-10-08,0.5793665098371488
44,2013-11-01,-0.03970203815284582
45,2013-12-02,0.12100507846847591
46,2014-01-02,-0.18317548425065094
47,2014-02-07,-0.49401809945008607
48,2014-03-03,-0.039894620873381983
49,2014-04-01,-0.08695621568129164
50,2014-05-05,-0.06440433138689781
51,2014-06-03,-0.03665856500080256
52,2014-07-01,0.10435443642830403
53,2014-08-01,0.8769633904634191
54,2014-09-01,0.22209488743458555
55,2014-10-08,0.7912044951737653
56,2014-11-03,0.28610949993717005
57,2014-12-01,1.1371881233977774
58,2015-01-05,2.8022178105699735
59,2015-02-02,-0.6567427887346546
60,2015-03-02,0.7979210620491012
61,2015-04-01,1.532506439216411
62,2015-05-04,1.863954346265795
63,2015-06-01,0.7120014368493399
64,2015-07-01,-1.1775644400535423
65,2015-08-03,-0.9132846342060903
66,2015-09-01,-1.2048430826747527
67,2015-10-08,-0.3274790251999007
68,2015-11-02,0.40198076502806984
69,2015-12-01,0.3897856410602262
70,2016-01-04,-0.6089482095100339
71,2016-02-01,-1.879563771573585
72,2016-03-01,0.16882061910831458
73,2016-04-01,0.8776872845804082
74,2016-05-03,-0.10242948656356729
75,2016-06-01,-0.2809275822053769
76,2016-07-01,0.030817160501457098
77,2016-08-01,0.31747944305213843
78,2016-09-01,0.3775402058707413
79,2016-10-10,0.027628647583370615
80,2016-11-01,0.16243148962057172
81,2016-12-01,0.5835735167293311
82,2017-01-03,-0.49679513535535164
83,2017-02-03,0.09369559202111269
84,2017-03-01,0.2910041761304957
85,2017-04-05,0.15113940695692052
86,2017-05-02,-0.2024592011144415
87,2017-06-01,-0.018729070067497806
88,2017-07-03,0.47804054825377673
89,2017-08-01,0.34148239281405673
90,2017-09-01,0.11962511731718313
91,2017-10-09,0.17584319065818835
92,2017-11-01,0.230742660553081
93,2017-12-01,-0.11936960451706438
94,2018-01-02,0.141864246327512
95,2018-02-01,0.2944345790916106
96,2018-03-01,-0.40708357263158584
97,2018-04-02,-0.4853132799479701
98,2018-05-02,-0.2931586049469318
99,2018-06-01,-0.08569871959804236
100,2018-07-02,-0.8211088987796028
101,2018-08-01,0.15454553675282867
102,2018-09-03,-0.39906952337371937
103,2018-10-08,-0.127606912938103
104,2018-11-01,-0.46669783441543145
105,2018-12-03,0.1303082106845703
106,2019-01-02,-0.8545624703689345
107,2019-02-01,0.5844529970955805
108,2019-03-01,1.36177789902045
109,2019-04-01,0.6568980290310156
110,2019-05-06,-0.7875336127112914
111,2019-06-03,-0.03637307529597711
112,2019-07-01,0.687383436218911
113,2019-08-01,-0.2786120528031548
114,2019-09-02,0.19666416536507542
115,2019-10-08,-0.10895142901810065
116,2019-11-01,0.2790993028205538
117,2019-12-02,-0.22035542674315556
118,2020-01-02,0.7025246307290498
119,2020-02-03,-1.2147665289038991
120,2020-03-02,0.9178635552457813
121,2020-04-01,-0.657536657644928
122,2020-05-06,0.4640743210247277
123,2020-06-01,-0.015172909233900404
124,2020-07-01,0.6572336370762376
125,2020-08-03,1.4300865847573418
126,2020-09-01,0.5076261271069645
127,2020-10-09,-0.22813589645621402
128,2020-11-02,-0.026016891032146747
129,2020-12-01,0.6072868994848534
130,2021-01-04,0.2925200695418492
131,2010-03-01,0.552060385543279
132,2010-04-01,0.1098185216045098
133,2010-05-04,-1.1028904772457744
134,2010-06-01,-0.9183611788551889
135,2010-07-01,-0.7711546904879205
136,2010-08-02,1.479414290886663
137,2010-09-01,0.0214166544601102
138,2010-10-08,0.558288696484279
139,2010-11-01,1.214702971813393
140,2010-12-01,-0.8248080144426837
141,2011-01-04,0.24826910366130883
142,2011-02-01,-0.1936531333856633
143,2011-03-01,0.44104781315324254
144,2011-04-01,0.02520563947071221
145,2011-05-03,-0.040227468163518694
146,2011-06-01,-0.5456764997409703
147,2011-07-01,0.12377866702084092
148,2011-08-01,-0.17755017836523224
149,2011-09-01,-0.40849319986914934
150,2011-10-10,-0.881649192317471
151,2011-11-01,0.43283153525809376
