,date,residual
0,2010-03-01,0.5066589717964161
1,2010-04-01,0.7509643219672821
2,2010-05-04,2.0268100657615222
3,2010-06-01,1.9170204054741582
4,2010-07-01,1.805921901940205
5,2010-08-02,-0.4927807951870524
6,2010-09-01,1.0224765097192683
7,2010-10-08,0.6058645491466728
8,2010-11-01,-0.39767054015804193
9,2010-12-01,1.8307250476795471
10,2011-01-04,0.7314868611453138
11,2011-02-01,1.2088824985791857
12,2011-03-01,0.5980326507460396
13,2011-04-01,1.0969564218946235
14,2011-05-03,1.0191784326024877
15,2011-06-01,1.562723016696165
16,2011-07-01,0.8483764445363329
17,2011-08-01,1.1965377706947153
18,2011-09-01,1.4021877222150938
19,2011-10-10,2.035779907645588
20,2011-11-01,0.511082192170814
21,2011-12-01,1.3109834747380709
22,2012-01-04,2.1845300078943977
23,2012-02-01,0.6605760411793508
24,2012-03-01,0.14718986697120395
25,2012-04-05,1.4115241547892516
26,2012-05-02,0.39880018169596365
27,2012-06-01,1.103969331108679
28,2012-07-02,1.3469449004126448
29,2012-08-01,1.3360610681064324
30,2012-09-03,1.3527773271370014
31,2012-10-08,1.015873822371052
32,2012-11-01,0.7500850479977539
33,2012-12-03,1.9570168253328415
34,2013-01-04,-0.1104418824288036
35,2013-02-01,0.268393057469395
36,2013-03-01,1.0030995241687497
37,2013-04-01,1.2207219162050005
38,2013-05-02,1.3440220951809903
39,2013-06-03,0.24073343568729555
40,2013-07-01,2.3568292788760448
41,2013-08-01,0.8407990342875111
42,2013-09-02,0.699634574206137
43,2013-10-08,0.5565885752796453
44,2013-11-01,1.0310528135223933
45,2013-12-02,0.7684441113820724
46,2014-01-02,1.1136762234677235
47,2014-02-07,1.4641475568893985
48,2014-03-03,1.018147750457386
49,2014-04-01,1.1045570309382433
50,2014-05-05,1.1117154517176606
51,2014-06-03,1.0787589392870633
52,2014-07-01,0.9808358949475349
53,2014-08-01,0.08565151284265549
54,2014-09-01,0.7740276844672365
55,2014-10-08,0.2916343998037487
56,2014-11-03,0.8110996346502495
57,2014-12-01,0.17700368066308259
58,2015-01-05,-1.9514013391464733
59,2015-02-02,1.6860912435551028
60,2015-03-02,0.3396351322172412
61,2015-04-01,-0.2795100996096602
62,2015-05-04,-0.9014854498366465
63,2015-06-01,0.16346694172141707
64,2015-07-01,2.098545011184068
65,2015-08-03,1.8157756603489559
66,2015-09-01,2.1296513659448726
67,2015-10-08,1.3686006137844438
68,2015-11-02,0.6527750239613492
69,2015-12-01,0.5744757334184152
70,2016-01-04,1.4739073108708087
71,2016-02-01,2.8693552430398217
72,2016-03-01,0.9301457976931913
73,2016-04-01,0.1241957282401045
74,2016-05-03,1.0837047294955462
75,2016-06-01,1.293081828041045
76,2016-07-01,1.0346295520644728
77,2016-08-01,0.7008389320069075
78,2016-09-01,0.5875397187968963
79,2016-10-10,0.9745631332385473
80,2016-11-01,0.8878979973006679
81,2016-12-01,0.3705908668323127
82,2017-01-03,1.5077062100962138
83,2017-02-03,0.9311479523497985
84,2017-03-01,0.6794886872812093
85,2017-04-05,0.8195415004118813
86,2017-05-02,1.2304279373237559
87,2017-06-01,1.0415771091428916
88,2017-07-03,0.7134571480285637
89,2017-08-01,0.6739226952485657
90,2017-09-01,0.8883999832856628
91,2017-10-09,0.8330051486530639
92,2017-11-01,0.9096118074417033
93,2017-12-01,1.173214889066127
94,2018-01-02,0.8822256793021757
95,2018-02-01,0.5637237208775918
96,2018-03-01,1.2966200421051792
97,2018-04-02,1.501184886958266
98,2018-05-02,1.2297426921914691
99,2018-06-01,0.9306378706814498
100,2018-07-02,1.9001104143721395
101,2018-08-01,0.9591081627132277
102,2018-09-03,1.4245873984154835
103,2018-10-08,1.163974251565674
104,2018-11-01,1.4445349925418067
105,2018-12-03,0.7374863561053349
106,2019-01-02,2.073287868855565
107,2019-02-01,0.5548312787067406
108,2019-03-01,-0.3288659155631577
109,2019-04-01,0.3195822840481777
110,2019-05-06,1.7121667315483822
111,2019-06-03,1.2192914436647033
112,2019-07-01,0.32481839586985173
113,2019-08-01,1.3034383701331906
114,2019-09-02,0.9244428590405227
115,2019-10-08,1.149687432678362
116,2019-11-01,0.631936761344585
117,2019-12-02,1.3186593590101177
118,2020-01-02,0.12675790958749122
119,2020-02-03,2.271949981946398
120,2020-03-02,-0.04632962774215088
121,2020-04-01,1.7258077293465426
122,2020-05-06,0.5198997438741928
123,2020-06-01,1.00016032103883
124,2020-07-01,0.3785883887994329
125,2020-08-03,-0.31603396664686567
126,2020-09-01,0.49501545456056795
127,2020-10-09,1.3895351371613982
128,2020-11-02,1.1632816467820397
129,2020-12-01,0.32039219922954276
130,2021-01-04,0.14036764408627866
131,2010-03-01,0.47866770989069873
132,2010-04-01,0.6558557410765773
133,2010-05-04,2.073128417356796
134,2010-06-01,1.8513301009320644
135,2010-07-01,2.016652552782247
136,2010-08-02,-0.46138398610516496
137,2010-09-01,0.9750411514231111
138,2010-10-08,0.5838913443046099
139,2010-11-01,-0.36200765619612396
140,2010-12-01,1.895373403242534
141,2011-01-04,0.6812709616845983
142,2011-02-01,1.2083242672244925
143,2011-03-01,0.6216078702316474
144,2011-04-01,0.9385104124694105
145,2011-05-03,0.9718849523534433
146,2011-06-01,1.655643470792068
147,2011-07-01,0.8312909111342439
148,2011-08-01,1.1594633294173393
149,2011-09-01,1.2684358050346844
150,2011-10-10,1.9902280625763022
151,2011-11-01,0.5194812400723028
152,2011-12-01,1.3244248820599167
153,2012-01-04,2.1752013640034598
154,2012-02-01,0.7329273110826873
