,date,book_to_price_ratio_predict,leverage_predict,earnings_yield_predict,beta_predict,growth_predict,residual_volatility_predict,non_linear_size_predict,liquidity_predict,momentum_predict,size_predict
45,2020-08-03,0.9634915,0.9634915,0.9634915,0.9634915,0.9634915,0.9634915,0.9634915,0.9634915,0.9634915,0.9634915
46,2020-09-01,0.94226694,0.94226694,0.94226694,0.94226694,0.94226694,0.94226694,0.94226694,0.94226694,0.94226694,0.94226694
47,2020-10-09,0.9578834,0.9578834,0.9578834,0.9578834,0.9578834,0.9578834,0.9578834,0.9578834,0.9578834,0.9578834
48,2020-11-02,0.7884077,0.7884077,0.7884077,0.7884077,0.7884077,0.7884077,0.7884077,0.7884077,0.7884077,0.7884077
49,2020-12-01,1.0258406,1.0258406,1.0258406,1.0258406,1.0258406,1.0258406,1.0258406,1.0258406,1.0258406,1.0258406
50,2018-12-03,1.0744231,1.0744231,1.0744231,1.0744231,1.0744231,1.0744231,1.0744231,1.0744231,1.0744231,1.0744231
51,2019-01-02,0.90646493,0.90646493,0.90646493,0.90646493,0.90646493,0.90646493,0.90646493,0.90646493,0.90646493,0.90646493
52,2019-02-01,0.8158783,0.8158783,0.8158783,0.8158783,0.8158783,0.8158783,0.8158783,0.8158783,0.8158783,0.8158783
53,2019-03-01,0.9493057,0.9493057,0.9493057,0.9493057,0.9493057,0.9493057,0.9493057,0.9493057,0.9493057,0.9493057
54,2019-04-01,0.857139,0.857139,0.857139,0.857139,0.857139,0.857139,0.857139,0.857139,0.857139,0.857139
55,2019-05-06,0.78626066,0.78626066,0.78626066,0.78626066,0.78626066,0.78626066,0.78626066,0.78626066,0.78626066,0.78626066
56,2019-06-03,0.9732461,0.9732461,0.9732461,0.9732461,0.9732461,0.9732461,0.9732461,0.9732461,0.9732461,0.9732461
57,2019-07-01,0.8962089,0.8962089,0.8962089,0.8962089,0.8962089,0.8962089,0.8962089,0.8962089,0.8962089,0.8962089
58,2019-08-01,1.052623,1.052623,1.052623,1.052623,1.052623,1.052623,1.052623,1.052623,1.052623,1.052623
59,2019-09-02,0.9610779,0.9610779,0.9610779,0.9610779,0.9610779,0.9610779,0.9610779,0.9610779,0.9610779,0.9610779
60,2019-10-08,0.95199764,0.95199764,0.95199764,0.95199764,0.95199764,0.95199764,0.95199764,0.95199764,0.95199764,0.95199764
61,2019-11-01,0.9148353,0.9148353,0.9148353,0.9148353,0.9148353,0.9148353,0.9148353,0.9148353,0.9148353,0.9148353
62,2019-12-02,0.8088641,0.8088641,0.8088641,0.8088641,0.8088641,0.8088641,0.8088641,0.8088641,0.8088641,0.8088641
63,2020-01-02,0.9284903,0.9284903,0.9284903,0.9284903,0.9284903,0.9284903,0.9284903,0.9284903,0.9284903,0.9284903
64,2020-02-03,1.0015994,1.0015994,1.0015994,1.0015994,1.0015994,1.0015994,1.0015994,1.0015994,1.0015994,1.0015994
65,2020-03-02,0.9047146,0.9047146,0.9047146,0.9047146,0.9047146,0.9047146,0.9047146,0.9047146,0.9047146,0.9047146
66,2020-04-01,0.9491244,0.9491244,0.9491244,0.9491244,0.9491244,0.9491244,0.9491244,0.9491244,0.9491244,0.9491244
67,2020-05-06,0.901432,0.901432,0.901432,0.901432,0.901432,0.901432,0.901432,0.901432,0.901432,0.901432
